 Offer , Total Cost of Loan , Down Payment , Principle ,Rate,Down Payment: Percent of Total Offer, Monthly Payment , 25% Total Cost of Loan , 30% Total Cost of Loan , 25% of Total Monthly Payment , 30% of Total Monthly Payment , 25% of Down Payment , 30% of Down Payment , Rent 1 , Rent 2 , Rent 3 , 25% Payment - R1 , 30% Payment - R1 , 25% Payment - R2 , 30% Payment - R2 , 25% Payment - R3 , 30% Payment - R3 ,Total Paid After 5 Years,Amount Left to Pay for Us at 25% Ownership,Amount Left to Pay for Us at 30% Ownership,Save a Month for us at 25% Ownership,Save a Month for us at 30% Ownership
" $775,000.00 "," $645,550.47 "," $350,000.00 "," $425,000.00 ",6.0%,45.2%," $3,586.39 "," $161,387.62 "," $193,665.14 ", $896.60 ," $1,075.92 "," $87,500.00 "," $105,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(353.40), $(424.08), $(603.40), $(724.08), $(853.40)," $(1,024.08)"," $215,183.49 "," $107,591.75 "," $129,110.09 "," $1,793.20 "," $2,151.83 "
" $775,000.00 "," $666,397.13 "," $350,000.00 "," $425,000.00 ",6.5%,45.2%," $3,702.21 "," $166,599.28 "," $199,919.14 ", $925.55 ," $1,110.66 "," $87,500.00 "," $105,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(324.45), $(389.34), $(574.45), $(689.34), $(824.45), $(989.34)," $222,132.38 "," $111,066.19 "," $133,279.43 "," $1,851.10 "," $2,221.32 "
" $775,000.00 "," $687,603.63 "," $350,000.00 "," $425,000.00 ",7.0%,45.2%," $3,820.02 "," $171,900.91 "," $206,281.09 ", $955.01 ," $1,146.01 "," $87,500.00 "," $105,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(294.99), $(353.99), $(544.99), $(653.99), $(794.99), $(953.99)," $229,201.21 "," $114,600.60 "," $137,520.73 "," $1,910.01 "," $2,292.01 "
" $775,000.00 "," $709,164.46 "," $350,000.00 "," $425,000.00 ",7.5%,45.2%," $3,939.80 "," $177,291.11 "," $212,749.34 ", $984.95 ," $1,181.94 "," $87,500.00 "," $105,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(265.05), $(318.06), $(515.05), $(618.06), $(765.05), $(918.06)," $236,388.15 "," $118,194.08 "," $141,832.89 "," $1,969.90 "," $2,363.88 "
" $775,000.00 "," $683,524.03 "," $325,000.00 "," $450,000.00 ",6.0%,41.9%," $3,797.36 "," $170,881.01 "," $205,057.21 ", $949.34 ," $1,139.21 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(300.66), $(360.79), $(550.66), $(660.79), $(800.66), $(960.79)," $227,841.34 "," $113,920.67 "," $136,704.81 "," $1,898.68 "," $2,278.41 "
" $775,000.00 "," $705,596.97 "," $325,000.00 "," $450,000.00 ",6.5%,41.9%," $3,919.98 "," $176,399.24 "," $211,679.09 ", $980.00 ," $1,175.99 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(270.00), $(324.01), $(520.00), $(624.01), $(770.00), $(924.01)," $235,198.99 "," $117,599.49 "," $141,119.39 "," $1,959.99 "," $2,351.99 "
" $775,000.00 "," $728,050.90 "," $325,000.00 "," $450,000.00 ",7.0%,41.9%," $4,044.73 "," $182,012.72 "," $218,415.27 "," $1,011.18 "," $1,213.42 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(238.82), $(286.58), $(488.82), $(586.58), $(738.82), $(886.58)," $242,683.63 "," $121,341.82 "," $145,610.18 "," $2,022.36 "," $2,426.84 "
" $775,000.00 "," $750,880.01 "," $325,000.00 "," $450,000.00 ",7.5%,41.9%," $4,171.56 "," $187,720.00 "," $225,264.00 "," $1,042.89 "," $1,251.47 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(207.11), $(248.53), $(457.11), $(548.53), $(707.11), $(848.53)," $250,293.34 "," $125,146.67 "," $150,176.00 "," $2,085.78 "," $2,502.93 "
" $775,000.00 "," $721,497.59 "," $300,000.00 "," $475,000.00 ",6.0%,38.7%," $4,008.32 "," $180,374.40 "," $216,449.28 "," $1,002.08 "," $1,202.50 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(247.92), $(297.50), $(497.92), $(597.50), $(747.92), $(897.50)," $240,499.20 "," $120,249.60 "," $144,299.52 "," $2,004.16 "," $2,404.99 "
" $775,000.00 "," $744,796.80 "," $300,000.00 "," $475,000.00 ",6.5%,38.7%," $4,137.76 "," $186,199.20 "," $223,439.04 "," $1,034.44 "," $1,241.33 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(215.56), $(258.67), $(465.56), $(558.67), $(715.56), $(858.67)," $248,265.60 "," $124,132.80 "," $148,959.36 "," $2,068.88 "," $2,482.66 "
" $775,000.00 "," $768,498.17 "," $300,000.00 "," $475,000.00 ",7.0%,38.7%," $4,269.43 "," $192,124.54 "," $230,549.45 "," $1,067.36 "," $1,280.83 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(182.64), $(219.17), $(432.64), $(519.17), $(682.64), $(819.17)," $256,166.06 "," $128,083.03 "," $153,699.63 "," $2,134.72 "," $2,561.66 "
" $775,000.00 "," $792,595.57 "," $300,000.00 "," $475,000.00 ",7.5%,38.7%," $4,403.31 "," $198,148.89 "," $237,778.67 "," $1,100.83 "," $1,320.99 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(149.17), $(179.01), $(399.17), $(479.01), $(649.17), $(779.01)," $264,198.52 "," $132,099.26 "," $158,519.11 "," $2,201.65 "," $2,641.99 "
" $800,000.00 "," $645,550.47 "," $375,000.00 "," $425,000.00 ",6.0%,46.9%," $3,586.39 "," $161,387.62 "," $193,665.14 ", $896.60 ," $1,075.92 "," $93,750.00 "," $112,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(353.40), $(424.08), $(603.40), $(724.08), $(853.40)," $(1,024.08)"," $215,183.49 "," $107,591.75 "," $129,110.09 "," $1,793.20 "," $2,151.83 "
" $800,000.00 "," $666,397.13 "," $375,000.00 "," $425,000.00 ",6.5%,46.9%," $3,702.21 "," $166,599.28 "," $199,919.14 ", $925.55 ," $1,110.66 "," $93,750.00 "," $112,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(324.45), $(389.34), $(574.45), $(689.34), $(824.45), $(989.34)," $222,132.38 "," $111,066.19 "," $133,279.43 "," $1,851.10 "," $2,221.32 "
" $800,000.00 "," $687,603.63 "," $375,000.00 "," $425,000.00 ",7.0%,46.9%," $3,820.02 "," $171,900.91 "," $206,281.09 ", $955.01 ," $1,146.01 "," $93,750.00 "," $112,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(294.99), $(353.99), $(544.99), $(653.99), $(794.99), $(953.99)," $229,201.21 "," $114,600.60 "," $137,520.73 "," $1,910.01 "," $2,292.01 "
" $800,000.00 "," $709,164.46 "," $375,000.00 "," $425,000.00 ",7.5%,46.9%," $3,939.80 "," $177,291.11 "," $212,749.34 ", $984.95 ," $1,181.94 "," $93,750.00 "," $112,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(265.05), $(318.06), $(515.05), $(618.06), $(765.05), $(918.06)," $236,388.15 "," $118,194.08 "," $141,832.89 "," $1,969.90 "," $2,363.88 "
" $800,000.00 "," $683,524.03 "," $350,000.00 "," $450,000.00 ",6.0%,43.8%," $3,797.36 "," $170,881.01 "," $205,057.21 ", $949.34 ," $1,139.21 "," $87,500.00 "," $105,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(300.66), $(360.79), $(550.66), $(660.79), $(800.66), $(960.79)," $227,841.34 "," $113,920.67 "," $136,704.81 "," $1,898.68 "," $2,278.41 "
" $800,000.00 "," $705,596.97 "," $350,000.00 "," $450,000.00 ",6.5%,43.8%," $3,919.98 "," $176,399.24 "," $211,679.09 ", $980.00 ," $1,175.99 "," $87,500.00 "," $105,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(270.00), $(324.01), $(520.00), $(624.01), $(770.00), $(924.01)," $235,198.99 "," $117,599.49 "," $141,119.39 "," $1,959.99 "," $2,351.99 "
" $800,000.00 "," $728,050.90 "," $350,000.00 "," $450,000.00 ",7.0%,43.8%," $4,044.73 "," $182,012.72 "," $218,415.27 "," $1,011.18 "," $1,213.42 "," $87,500.00 "," $105,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(238.82), $(286.58), $(488.82), $(586.58), $(738.82), $(886.58)," $242,683.63 "," $121,341.82 "," $145,610.18 "," $2,022.36 "," $2,426.84 "
" $800,000.00 "," $750,880.01 "," $350,000.00 "," $450,000.00 ",7.5%,43.8%," $4,171.56 "," $187,720.00 "," $225,264.00 "," $1,042.89 "," $1,251.47 "," $87,500.00 "," $105,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(207.11), $(248.53), $(457.11), $(548.53), $(707.11), $(848.53)," $250,293.34 "," $125,146.67 "," $150,176.00 "," $2,085.78 "," $2,502.93 "
" $800,000.00 "," $721,497.59 "," $325,000.00 "," $475,000.00 ",6.0%,40.6%," $4,008.32 "," $180,374.40 "," $216,449.28 "," $1,002.08 "," $1,202.50 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(247.92), $(297.50), $(497.92), $(597.50), $(747.92), $(897.50)," $240,499.20 "," $120,249.60 "," $144,299.52 "," $2,004.16 "," $2,404.99 "
" $800,000.00 "," $744,796.80 "," $325,000.00 "," $475,000.00 ",6.5%,40.6%," $4,137.76 "," $186,199.20 "," $223,439.04 "," $1,034.44 "," $1,241.33 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(215.56), $(258.67), $(465.56), $(558.67), $(715.56), $(858.67)," $248,265.60 "," $124,132.80 "," $148,959.36 "," $2,068.88 "," $2,482.66 "
" $800,000.00 "," $768,498.17 "," $325,000.00 "," $475,000.00 ",7.0%,40.6%," $4,269.43 "," $192,124.54 "," $230,549.45 "," $1,067.36 "," $1,280.83 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(182.64), $(219.17), $(432.64), $(519.17), $(682.64), $(819.17)," $256,166.06 "," $128,083.03 "," $153,699.63 "," $2,134.72 "," $2,561.66 "
" $800,000.00 "," $792,595.57 "," $325,000.00 "," $475,000.00 ",7.5%,40.6%," $4,403.31 "," $198,148.89 "," $237,778.67 "," $1,100.83 "," $1,320.99 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(149.17), $(179.01), $(399.17), $(479.01), $(649.17), $(779.01)," $264,198.52 "," $132,099.26 "," $158,519.11 "," $2,201.65 "," $2,641.99 "
" $800,000.00 "," $759,471.15 "," $300,000.00 "," $500,000.00 ",6.0%,37.5%," $4,219.28 "," $189,867.79 "," $227,841.34 "," $1,054.82 "," $1,265.79 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(195.18), $(234.21), $(445.18), $(534.21), $(695.18), $(834.21)," $253,157.05 "," $126,578.52 "," $151,894.23 "," $2,109.64 "," $2,531.57 "
" $800,000.00 "," $783,996.63 "," $300,000.00 "," $500,000.00 ",6.5%,37.5%," $4,355.54 "," $195,999.16 "," $235,198.99 "," $1,088.88 "," $1,306.66 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(161.12), $(193.34), $(411.12), $(493.34), $(661.12), $(793.34)," $261,332.21 "," $130,666.10 "," $156,799.33 "," $2,177.77 "," $2,613.32 "
" $800,000.00 "," $808,945.44 "," $300,000.00 "," $500,000.00 ",7.0%,37.5%," $4,494.14 "," $202,236.36 "," $242,683.63 "," $1,123.54 "," $1,348.24 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(126.46), $(151.76), $(376.46), $(451.76), $(626.46), $(751.76)," $269,648.48 "," $134,824.24 "," $161,789.09 "," $2,247.07 "," $2,696.48 "
" $800,000.00 "," $834,311.12 "," $300,000.00 "," $500,000.00 ",7.5%,37.5%," $4,635.06 "," $208,577.78 "," $250,293.34 "," $1,158.77 "," $1,390.52 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(91.23), $(109.48), $(341.23), $(409.48), $(591.23), $(709.48)," $278,103.71 "," $139,051.85 "," $166,862.22 "," $2,317.53 "," $2,781.04 "
" $825,000.00 "," $645,550.47 "," $400,000.00 "," $425,000.00 ",6.0%,48.5%," $3,586.39 "," $161,387.62 "," $193,665.14 ", $896.60 ," $1,075.92 "," $100,000.00 "," $120,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(353.40), $(424.08), $(603.40), $(724.08), $(853.40)," $(1,024.08)"," $215,183.49 "," $107,591.75 "," $129,110.09 "," $1,793.20 "," $2,151.83 "
" $825,000.00 "," $666,397.13 "," $400,000.00 "," $425,000.00 ",6.5%,48.5%," $3,702.21 "," $166,599.28 "," $199,919.14 ", $925.55 ," $1,110.66 "," $100,000.00 "," $120,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(324.45), $(389.34), $(574.45), $(689.34), $(824.45), $(989.34)," $222,132.38 "," $111,066.19 "," $133,279.43 "," $1,851.10 "," $2,221.32 "
" $825,000.00 "," $687,603.63 "," $400,000.00 "," $425,000.00 ",7.0%,48.5%," $3,820.02 "," $171,900.91 "," $206,281.09 ", $955.01 ," $1,146.01 "," $100,000.00 "," $120,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(294.99), $(353.99), $(544.99), $(653.99), $(794.99), $(953.99)," $229,201.21 "," $114,600.60 "," $137,520.73 "," $1,910.01 "," $2,292.01 "
" $825,000.00 "," $709,164.46 "," $400,000.00 "," $425,000.00 ",7.5%,48.5%," $3,939.80 "," $177,291.11 "," $212,749.34 ", $984.95 ," $1,181.94 "," $100,000.00 "," $120,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(265.05), $(318.06), $(515.05), $(618.06), $(765.05), $(918.06)," $236,388.15 "," $118,194.08 "," $141,832.89 "," $1,969.90 "," $2,363.88 "
" $825,000.00 "," $683,524.03 "," $375,000.00 "," $450,000.00 ",6.0%,45.5%," $3,797.36 "," $170,881.01 "," $205,057.21 ", $949.34 ," $1,139.21 "," $93,750.00 "," $112,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(300.66), $(360.79), $(550.66), $(660.79), $(800.66), $(960.79)," $227,841.34 "," $113,920.67 "," $136,704.81 "," $1,898.68 "," $2,278.41 "
" $825,000.00 "," $705,596.97 "," $375,000.00 "," $450,000.00 ",6.5%,45.5%," $3,919.98 "," $176,399.24 "," $211,679.09 ", $980.00 ," $1,175.99 "," $93,750.00 "," $112,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(270.00), $(324.01), $(520.00), $(624.01), $(770.00), $(924.01)," $235,198.99 "," $117,599.49 "," $141,119.39 "," $1,959.99 "," $2,351.99 "
" $825,000.00 "," $728,050.90 "," $375,000.00 "," $450,000.00 ",7.0%,45.5%," $4,044.73 "," $182,012.72 "," $218,415.27 "," $1,011.18 "," $1,213.42 "," $93,750.00 "," $112,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(238.82), $(286.58), $(488.82), $(586.58), $(738.82), $(886.58)," $242,683.63 "," $121,341.82 "," $145,610.18 "," $2,022.36 "," $2,426.84 "
" $825,000.00 "," $750,880.01 "," $375,000.00 "," $450,000.00 ",7.5%,45.5%," $4,171.56 "," $187,720.00 "," $225,264.00 "," $1,042.89 "," $1,251.47 "," $93,750.00 "," $112,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(207.11), $(248.53), $(457.11), $(548.53), $(707.11), $(848.53)," $250,293.34 "," $125,146.67 "," $150,176.00 "," $2,085.78 "," $2,502.93 "
" $825,000.00 "," $721,497.59 "," $350,000.00 "," $475,000.00 ",6.0%,42.4%," $4,008.32 "," $180,374.40 "," $216,449.28 "," $1,002.08 "," $1,202.50 "," $87,500.00 "," $105,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(247.92), $(297.50), $(497.92), $(597.50), $(747.92), $(897.50)," $240,499.20 "," $120,249.60 "," $144,299.52 "," $2,004.16 "," $2,404.99 "
" $825,000.00 "," $744,796.80 "," $350,000.00 "," $475,000.00 ",6.5%,42.4%," $4,137.76 "," $186,199.20 "," $223,439.04 "," $1,034.44 "," $1,241.33 "," $87,500.00 "," $105,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(215.56), $(258.67), $(465.56), $(558.67), $(715.56), $(858.67)," $248,265.60 "," $124,132.80 "," $148,959.36 "," $2,068.88 "," $2,482.66 "
" $825,000.00 "," $768,498.17 "," $350,000.00 "," $475,000.00 ",7.0%,42.4%," $4,269.43 "," $192,124.54 "," $230,549.45 "," $1,067.36 "," $1,280.83 "," $87,500.00 "," $105,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(182.64), $(219.17), $(432.64), $(519.17), $(682.64), $(819.17)," $256,166.06 "," $128,083.03 "," $153,699.63 "," $2,134.72 "," $2,561.66 "
" $825,000.00 "," $792,595.57 "," $350,000.00 "," $475,000.00 ",7.5%,42.4%," $4,403.31 "," $198,148.89 "," $237,778.67 "," $1,100.83 "," $1,320.99 "," $87,500.00 "," $105,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(149.17), $(179.01), $(399.17), $(479.01), $(649.17), $(779.01)," $264,198.52 "," $132,099.26 "," $158,519.11 "," $2,201.65 "," $2,641.99 "
" $825,000.00 "," $759,471.15 "," $325,000.00 "," $500,000.00 ",6.0%,39.4%," $4,219.28 "," $189,867.79 "," $227,841.34 "," $1,054.82 "," $1,265.79 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(195.18), $(234.21), $(445.18), $(534.21), $(695.18), $(834.21)," $253,157.05 "," $126,578.52 "," $151,894.23 "," $2,109.64 "," $2,531.57 "
" $825,000.00 "," $783,996.63 "," $325,000.00 "," $500,000.00 ",6.5%,39.4%," $4,355.54 "," $195,999.16 "," $235,198.99 "," $1,088.88 "," $1,306.66 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(161.12), $(193.34), $(411.12), $(493.34), $(661.12), $(793.34)," $261,332.21 "," $130,666.10 "," $156,799.33 "," $2,177.77 "," $2,613.32 "
" $825,000.00 "," $808,945.44 "," $325,000.00 "," $500,000.00 ",7.0%,39.4%," $4,494.14 "," $202,236.36 "," $242,683.63 "," $1,123.54 "," $1,348.24 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(126.46), $(151.76), $(376.46), $(451.76), $(626.46), $(751.76)," $269,648.48 "," $134,824.24 "," $161,789.09 "," $2,247.07 "," $2,696.48 "
" $825,000.00 "," $834,311.12 "," $325,000.00 "," $500,000.00 ",7.5%,39.4%," $4,635.06 "," $208,577.78 "," $250,293.34 "," $1,158.77 "," $1,390.52 "," $81,250.00 "," $97,500.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(91.23), $(109.48), $(341.23), $(409.48), $(591.23), $(709.48)," $278,103.71 "," $139,051.85 "," $166,862.22 "," $2,317.53 "," $2,781.04 "
" $825,000.00 "," $797,444.70 "," $300,000.00 "," $525,000.00 ",6.0%,36.4%," $4,430.25 "," $199,361.18 "," $239,233.41 "," $1,107.56 "," $1,329.07 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(142.44), $(170.93), $(392.44), $(470.93), $(642.44), $(770.93)," $265,814.90 "," $132,907.45 "," $159,488.94 "," $2,215.12 "," $2,658.15 "
" $825,000.00 "," $823,196.46 "," $300,000.00 "," $525,000.00 ",6.5%,36.4%," $4,573.31 "," $205,799.12 "," $246,958.94 "," $1,143.33 "," $1,371.99 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(106.67), $(128.01), $(356.67), $(428.01), $(606.67), $(728.01)," $274,398.82 "," $137,199.41 "," $164,639.29 "," $2,286.66 "," $2,743.99 "
" $825,000.00 "," $849,392.72 "," $300,000.00 "," $525,000.00 ",7.0%,36.4%," $4,718.85 "," $212,348.18 "," $254,817.81 "," $1,179.71 "," $1,415.65 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(70.29), $(84.35), $(320.29), $(384.35), $(570.29), $(684.35)," $283,130.91 "," $141,565.45 "," $169,878.54 "," $2,359.42 "," $2,831.31 "
" $825,000.00 "," $876,026.68 "," $300,000.00 "," $525,000.00 ",7.5%,36.4%," $4,866.81 "," $219,006.67 "," $262,808.00 "," $1,216.70 "," $1,460.04 "," $75,000.00 "," $90,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(33.30), $(39.96), $(283.30), $(339.96), $(533.30), $(639.96)," $292,008.89 "," $146,004.45 "," $175,205.34 "," $2,433.41 "," $2,920.09 "
" $850,000.00 "," $683,524.03 "," $400,000.00 "," $450,000.00 ",6.0%,47.1%," $3,797.36 "," $170,881.01 "," $205,057.21 ", $949.34 ," $1,139.21 "," $100,000.00 "," $120,000.00 "," $5,000.00 "," $6,000.00 "," $7,000.00 ", $(300.66), $(360.79), $(550.66), $(660.79), $(800.66), $(960.79)," $227,841.34 "," $113,920.67 "," $136,704.81 "," $1,898.68 "," $2,278.41 "
